"time.string","FLOW.OF.ALGAE","FLOW.OF.CO2","PAR.1","PAR.2","PRESSURE","SPEED","SUM.OF.WATER","TEMPERATURE","THICKNESS.OF.ALGAE","TURBIDITY","VOLUME.IN.TANK","pCO2","pH","pO2","TURBIDITY.diff","date","time","daily.evap","avg.daily.temp","daynight"
2023-10-02 11:20:00,17.597801,0.002893518,668.83683,915.62503,15.595488,91.100741,241.25551,27.146989,5.9076642,0.02893517,51.648124,5.3588854,4.3049123,5.8921271,0,2023-10-02,"11:20:00",NA,NA,1
2023-10-02 11:30:00,17.860532,0.002893518,692.62155,911.9792,15.756944,91.87226,243.52568,27.445022,5.8955891,0.02893517,52.052457,5.3174858,4.5069798,5.8496076,0,2023-10-02,"11:30:00",NA,NA,1
2023-10-02 11:40:00,17.9160233333333,0.002893518,682.388122222222,914.834122222222,15.7754644444444,91.9978744444444,244.4057,27.6523922222222,5.99499877777778,0.02893517,51.3384844444444,5.257173,4.57478822222222,5.81623644444444,0,2023-10-02,"11:40:00",NA,NA,1
2023-10-02 11:50:00,17.997107,0.002893518,695.57293,928.38544,15.965278,92.378738,245.9658,27.725694,5.8942924,0.02893517,51.591606,5.1977261,4.7479516,5.8034207,0,2023-10-02,"11:50:00",NA,NA,1
2023-10-02 12:00:00,17.782984,0.002893518,701.90973,894.01043,15.718752,91.68954,246.1058,27.714121,5.9343949,0.02893517,52.733583,5.1245268,4.7697779,5.8029026,0,2023-10-02,"12:00:00",NA,NA,1
2023-10-02 12:10:00,18.02199,0.0031828699,695.48612,855.29516,15.901043,92.428685,247.42589,27.77199,5.9183204,0.02893517,51.085047,5.0525097,4.9053897,5.7943607,0,2023-10-02,"12:10:00",NA,NA,1
2023-10-02 12:20:00,18.35706,0.0031828699,597.82989,719.70488,16.229168,93.429408,250.28607,27.829862,5.9920306,0.02893517,51.449791,4.9965447,5.2250638,5.7857655,0,2023-10-02,"12:20:00",NA,NA,1
2023-10-02 12:30:00,18.039351,0.0031828699,543.83681,670.65975,16.055555,92.536145,251.1061,27.890623,5.985562,0.02893517,54.198717,4.9198222,5.326068,5.7757494,0,2023-10-02,"12:30:00",NA,NA,1
2023-10-02 12:40:00,18.059607,0.002893518,527.51736,876.73613,15.968751,92.539873,251.1061,28.012151,6.0448138,0.02893517,52.788619,4.8243387,5.3098393,5.7589265,0,2023-10-02,"12:40:00",NA,NA,1
2023-10-02 12:50:00,17.844329,0.1736111036,654.16667,850.95488,15.836807,91.924444,251.1061,28.104744,5.9206037,0.02893517,53.585969,4.7786423,5.2489121,5.7484114,0,2023-10-02,"12:50:00",NA,NA,1
2023-10-02 13:00:00,17.857638,0.0434027782,637.58681,770.92016,15.890625,92.053831,251.1061,28.151037,5.8798687,0.02893517,51.803712,4.9793284,5.2468208,5.7385165,0,2023-10-02,"13:00:00",NA,NA,1
2023-10-02 13:10:00,17.692707,0.0853588008,606.68405,822.74309,15.654515,91.471594,251.1061,28.11053,6.0069826,0.02893517,52.359896,4.9378588,5.2518865,5.7423933,0,2023-10-02,"13:10:00",NA,NA,1
